trial,traded,breadth_gate,consensus_k,conviction_sizing,dd_sizer,edge_monitor,enter,exit_,feargreed,fng_min,horserace,hurst_gate,martingale,max_positions,meta_margin,micro_gate,min_age_days,min_hold,mom_gate,money_kelly,money_model,money_pyramid,position_fraction,regime_deploy,regime_persist,scale_enter,scale_in,stop_loss,sweep,trail_stop,tree_weight,trend_soft,vol_floor,vol_scale,profit_2018,profit_2019,profit_2020,profit_2021,profit_2022,profit_2023,profit_2024,profit_2025,fit_score,heldout_score,worst_drawdown,trades
0,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
1,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,414.90479529988426,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.9510147283661725,0.6518157221952627,1.3646820235210266,100.22869683762306,0.028975962200205707,0.3048757119724026,0.7382043734985291,-0.07985466146069375,0.265591,0.131234,0.22016779002182618,3694
2,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.13204922533189545,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.901684577779101,0.5294221486417408,1.2929165628782004,118.84201264261625,0.12241434218226432,0.29824377252387513,0.784339445159659,-0.006944966055339341,0.280518,0.164261,0.2196670181499738,3694
3,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.2239861751455514,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7487619283709082,0.5011868413837779,1.2288310655286212,81.02297511881784,0.11558815924642851,0.28827366981674607,0.6850774419802288,-0.022910532177073062,0.27768,0.158043,0.2087169393146544,3694
4,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.17970443162078908,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
5,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,7,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,0.4928240326081428,0.5781876878140453,0.783004766880308,8.430448710074387,0.03822253834462486,0.1466989077316747,0.265824899175922,0.006740014956251761,0.240247,0.155396,0.09864679590371506,5737
6,yes,0.3,1,0.0,0.0,0.0,0.75,0.30720863186087627,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.2552349536092414,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,0.8296302330578191,0.23618545009804448,0.6273219391039782,18.411905967592507,0.04224608058115842,0.1899169042142328,0.3719806727952579,0.05370902094495689,0.238009,0.198032,0.11743868958753079,3973
7,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0,0.14060037918986765,0.0,0.12,0.0,0.0,0.4,0.0,1.8548843075819983,0.3741775074572058,0.6936377123326756,41.611448979790936,0.08704397909374362,0.3018338825654068,0.6021610130490951,-0.008066307613014412,0.274379,0.167287,0.1911551933435892,3678
8,yes,0.3,1,0.0,0.0,0.0,0.5671672649771945,0.25,0.8785790391847951,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.1960050526168535,-0.19131671704561948,0.3158923813393715,34.658889306124415,0.055263582775747944,0.3522745806590246,0.4991173080386784,0.07187062617416351,0.159744,0.209147,0.24663594288492008,4259
9,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.029080109865504356,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.8698813800244624,0.0,0.10921748055709246,0.11647549388265355,0.12476377484518131,1.0453223860662528,0.01096543624950086,0.03877819953720363,0.09663725903673992,0.022272040050152597,0.125165,0.078376,0.06805481339645536,3694
